表情名称,对应文件,顺序,最终帧,动画形式
挤眼睛,jiyanjing1/jiyanjing2,1-2-1-2-1-2-1,jiyanjing1,顺序播放
晕晕,yun1/yun2/yun3,1-2-3-2-3-2-3-1,yun1,顺序播放
闭眼睛,close1/close2/close3,1-2-3-2-3-2-3-1,close1,顺序播放
死掉了,dead1/dead2/dead3,1-2-3-2-3-2-3-1,dead1,顺序播放
等等,dian1/dian2/dian3,1-2-3,dian3,顺序播放
笑笑,smile1/smile2,1-2-1-2-1-2-1,smile1,顺序播放
看你,look1/look2,1-2-1-2-1-2-1,look1,顺序播放
心跳,hart1/hart2,1-2-1-2-1-2-1,hart1,顺序播放
睡着了,zzz1/zzz2/zzz3,1-2-3,zzz3,顺序播放
尴尬,ganga1/ganga2/ganga3,1-2-3,ganga3,顺序播放
墨镜,glass,-,-,静态
无语,wuyu,-,-,静态
问号,wenhao,-,-,静态
感叹号,gantanhao,-,-,静态
生气,angry,-,-,静态
对√,yes,-,-,静态
错×,X,-,-,静态
